chr	start	end	score
1	455336	493087	40
1	777659	820629	0
1	777659	820629	0
1	898703	6229913	3
1	1020102	1056119	30
1	1232237	1235041	30
1	1709560	1715561	40
1	1785286	1891087	1
1	2228319	2310213	0
1	3652516	3736201	0
1	5862810	5992425	30
1	6101787	6180321	1
1	6424776	6461367	30
1	6466092	6520092	30
1	6785452	7769706	3
1	7961711	7985505	30
1	9234767	9271337	30
1	10474946	10630758	30
1	10636604	10796650	1
1	11012654	11030528	0
1	11026523	11047239	30
1	11785723	11806103	30
1	11934717	11975537	30
1	11980215	12013508	0
1	12826782	12882210	40
1	12835148	12880149	0
1	12836571	12870422	40
1	12837756	12862385	0
1	12839542	12864430	40
1	12890169	12906170	40
1	12929369	12939070	40
1	13040162	13049863	40
1	13366389	13447984	40
1	15825195	15829107	40
1	15826172	15829022	40
1	15847707	15940456	1
1	16022036	16034050	30
1	16043782	16057326	30
1	16682950	16686282	40
1	16985958	17011972	30
1	17018722	17054032	3
1	18871430	18902580	30
1	20633458	20651511	30
1	20651777	20661369	30
1	21822244	21937310	30
1	21986630	22009219	40
1	22653236	22661637	30
1	23957509	23964510	40
1	25266308	25324509	40
1	25267208	25283709	40
1	25287508	25294509	40
1	25304408	25309509	40
1	25313008	25323509	40
1	25317908	25323009	40
1	25328508	25334859	40
1	26696015	26782104	3
1	27534245	27604178	3
1	31652263	31704162	40
1	40071461	40097252	30
1	40300487	40317653	0
1	40508741	40516050	40
1	41506365	42035934	1
1	42746374	42767028	30
1	42925353	42958868	3
1	44850522	44986641	30
1	45329242	45340447	30
1	45500229	45513382	30
1	47250139	47314896	30
1	47416285	47418052	0
1	54998933	55017172	30
1	55039548	55064852	40
1	58575433	58577252	30
1	61077227	61462788	3
1	62188989	62191539	40
1	62454726	62688386	30
1	62597520	62606313	30
1	63367627	63438553	30
1	63593411	63660245	30
1	64374229	64386185	40
1	65264749	65415871	30
1	65420652	65641559	30
1	66999350	67054423	30
1	68045886	68051631	0
1	70411268	70441949	30
1	75724709	75763679	30
1	91260766	91408008	30
1	92245786	92441936	3
1	97077743	97921059	30
1	100186919	100249864	30
1	102876473	103108580	1
1	103648377	103760578	0
1	108374690	108457706	0
1	108380727	108453478	40
1	108875350	108934545	30
1	109064140	109076003	1
1	109548615	109600195	0
1	109687572	109711959	40
1	112674312	112702377	0
1	113894194	113905067	30
1	115700021	115768714	30
1	119911553	120069662	0
1	120900178	120910679	40
1	143657400	143709403	40
1	143713202	143723502	40
1	143874448	143938649	40
1	143902073	143911524	40
1	145686999	146048495	1
1	145911348	145918717	30
1	146017470	146021735	30
1	147017931	147080932	40
1	147105904	147917509	3
1	147172747	147295762	0
1	147756199	147781127	1
1	147902795	147915287	1
1	147961367	147982768	40
1	148087722	148158223	40
1	148383996	148441436	40
1	148459777	148510778	40
1	149923317	149927803	3
1	151402724	151459494	3
1	152302165	152325239	3
1	152582450	152602872	40
1	152583065	152615264	40
1	152788043	152798615	40
1	152789019	152801061	0
1	153804725	153923953	3
1	155139891	155140573	30
1	155234452	155244627	30
1	155335263	155563160	3
1	156082573	156140081	2
1	161314381	161375340	3
1	161559468	161641133	40
1	161600533	161628390	40
1	161766320	161964070	30
1	164559184	164886047	3
1	165724291	165768922	30
1	168055320	168056494	40
1	169511951	169586630	30
1	170532134	170553834	30
1	171185208	171212686	40
1	172659103	172666876	30
1	173824673	173858546	30
1	179486462	179489161	40
1	180228372	180278984	1
1	182378098	182391790	30
1	183186264	183245127	30
1	183555562	183590914	30
1	186296273	186314567	30
1	193122031	193254815	3
1	197038741	197067264	30
1	197084127	197146669	30
1	201039509	201112453	0
1	201359014	201377828	0
1	202331657	202341936	30
1	202724495	202809470	1
1	204190341	204196491	30
1	205042937	205078289	30
1	207535404	207544705	40
1	209785617	209806142	3
1	209938165	210171389	30
1	215622891	216423448	30
1	219910395	219959098	30
1	220148293	220272453	30
1	222199866	222208120	40
1	222814514	223005995	0
1	224385146	224434797	3
1	225401502	225428821	30
1	230702523	230745583	30
1	231241210	231277973	30
1	231626790	232041272	0
1	235367427	235452443	30
1	235440654	235504481	30
1	235661031	235883713	30
1	236794304	236903981	30
1	237042184	237833988	0
1	239386565	239915450	1
1	241497603	241519755	3
1	243124428	245154985	3
1	243255418	243503683	30
1	243488233	243851079	1
1	244048653	244057476	3
1	244835306	244845063	30
1	248456698	248483699	0
1	248549153	248594102	40
1	248565698	248579699	40
1	248567698	248634899	40
1	248574698	248580699	40
1	248592354	248595177	40
1	248593579	248634508	40
1	248643398	248656424	40
2	1413288	1543673	30
2	1631887	1744852	30
2	1789113	2331388	3
2	3595112	3644644	30
2	5692384	5701385	3
2	14998067	15561344	30
2	15568553	16045215	Not Yet Evaluated
2	15940550	15947004	3
2	17753687	17788946	40
2	19910260	19990105	30
2	19992052	20012668	0
2	21001429	21044073	3
2	25227874	25342590	1
2	25733753	25878487	0
2	26457203	26558756	30
2	29061695	29074523	30
2	29190992	29921589	0
2	31334320	31414777	30
2	31522480	31665651	30
2	32063551	32157637	3
2	38797729	38875934	0
2	38981549	39124868	0
2	43806154	43838840	30
2	43831942	43882988	30
2	43886224	43995989	30
2	44183133	44362502	30
2	44275464	44321494	30
2	44317607	44361862	30
2	44941702	44946071	3
2	46617215	46630176	30
2	46901870	46941855	30
2	46915866	47076123	30
2	47369311	47387020	30
2	47403067	47634501	3
2	47783145	47806954	3
2	49918503	51032132	3
2	58912065	62261736	3
2	60450520	60553654	3
2	61800240	61854126	30
2	63119559	63588733	30
2	71109684	71130288	30
2	73385758	73609919	30
2	73926827	73958961	30
2	84423528	84459280	30
2	85837120	85889034	30
2	86784605	86808396	30
2	87015076	87026477	40
2	88556741	88627464	30
2	89159760	89213455	40
2	89967024	90013408	40
2	90005627	90022201	40
2	90005741	90063995	40
2	90121435	90124718	40
2	90210510	90237066	40
2	96073264	97005692	3
2	96248514	96265997	3
2	96760902	96811888	30
2	110104531	110228181	30
2	110123348	110205013	30
2	110634616	112347165	2
2	111120914	111168445	0
2	113215997	113278921	1
2	113627218	113643392	40
2	120735868	120992653	3
2	121337776	121649462	0
2	127048023	127107154	30
2	127257290	127294166	30
2	130036309	130065676	40
2	130196426	130201427	40
2	130197365	130199814	40
2	130479426	130484427	40
2	130491326	130497027	40
2	130592165	130599575	0
2	130655226	130672427	40
2	130719936	131172120	1
2	130729070	130730336	0
2	130836914	131051514	0
2	131762426	131771427	40
2	132096003	132455990	0
2	135052281	135176667	30
2	135787850	135837195	30
2	144384081	144520119	3
2	147930396	148021551	30
2	148021011	148516971	3
2	149569637	149587775	30
2	156324432	156332724	3
2	161416297	161425870	3
2	161620963	161985270	1
2	165208056	165392310	3
2	165747588	165796352	30
2	165873362	165953781	30
2	165984641	166149161	3
2	168915468	169031396	30
2	169127109	169362597	30
2	169479494	169506655	30
2	171783405	171894244	0
2	172085507	172089674	0
2	172099438	172102900	0
2	176080107	176083962	0
2	176087487	176095944	3
2	176122719	176124937	0
2	178525989	178807423	3
2	182909115	183038457	3
2	188974373	189012746	3
2	190968989	191014197	0
2	199269500	199471266	3
2	201071784	201085750	30
2	201182885	201229406	1
2	201620186	201643503	30
2	201700267	201781153	30
2	202376310	202567751	3
2	208128137	208139100	0
2	210477685	210679107	30
2	214725645	214809683	3
2	218659683	218663443	30
2	218781733	218815293	30
2	219434215	219493629	30
2	219498891	219506989	30
2	219549408	219571573	30
2	222199887	222298998	3
2	224470150	224585363	3
2	227164589	227314792	30
2	229763837	229923234	3
2	231961713	232344350	1
2	232697331	232860605	1
2	234050667	234077134	0
2	237486410	237555322	30
2	238848085	238910534	30
2	239032997	241988449	3
2	239048168	239401649	1
2	239892442	240025343	30
2	240713767	240821403	0
2	240868824	240880500	30
2	241734629	241768816	30
2	241930711	242070030	40
2	241988449	242157305	40
3	978021	1404217	0
3	2098866	3059080	0
3	4034714	4467270	30
3	9397615	9478154	3
3	9866710	9880253	30
3	10026437	10101932	30
3	10141778	10153667	3
3	10992748	11039247	3
3	12484456	12539624	30
3	12583601	12664117	0
3	13816258	13880071	30
3	14125006	14143680	0
3	14145145	14178601	30
3	15450133	15521706	30
3	15601352	15722516	30
3	17157162	17742739	0
3	23916545	23924631	1
3	25718944	25790039	30
3	30606472	30694142	2
3	32996617	33097146	30
3	33114014	33147773	30
3	36993487	37050846	3
3	38281662	38318575	40
3	38548061	38649687	3
3	41199422	41240445	3
3	45917903	45995824	30
3	46574535	46582457	1
3	46857872	46863444	0
3	47016431	47164113	3
